
> sol-analytics-backend@1.0.0 start
> tsx src/index.ts

🚀 Sol Analytics API server running on port 3001
📊 Health check: http://localhost:3001/health
🔌 API endpoints:
   - Protocols: http://localhost:3001/api/protocols
   - Data Update: http://localhost:3001/api/data-update
2025-06-19T08:32:32.589Z - GET /api/data-update/status
2025-06-19T08:32:32.678Z - GET /api/data-update/status
2025-06-19T08:32:32.776Z - GET /api/data-update/status
2025-06-19T08:32:32.870Z - GET /api/data-update/status
2025-06-19T08:32:32.979Z - GET /api/data-update/status
2025-06-19T08:32:33.069Z - GET /api/data-update/status
2025-06-19T08:32:33.170Z - GET /api/data-update/status
2025-06-19T08:32:33.271Z - GET /api/data-update/status
2025-06-19T08:32:33.365Z - GET /api/data-update/status
2025-06-19T08:32:33.504Z - GET /api/data-update/status
2025-06-19T08:32:33.615Z - GET /api/data-update/status
2025-06-19T08:32:33.729Z - GET /api/data-update/status
2025-06-19T08:32:33.834Z - GET /api/data-update/status
2025-06-19T08:32:33.928Z - GET /api/data-update/status
2025-06-19T08:32:34.026Z - GET /api/data-update/status
2025-06-19T08:32:34.118Z - GET /api/data-update/status
2025-06-19T08:32:34.243Z - GET /api/data-update/status
2025-06-19T08:32:34.356Z - GET /api/data-update/status
2025-06-19T08:32:34.447Z - GET /api/data-update/status
2025-06-19T08:32:34.553Z - GET /api/data-update/status
2025-06-19T08:32:34.650Z - GET /api/data-update/status
2025-06-19T08:32:34.762Z - GET /api/data-update/status
2025-06-19T08:32:34.875Z - GET /api/data-update/status
2025-06-19T08:32:34.978Z - GET /api/data-update/status
2025-06-19T08:32:35.088Z - GET /api/data-update/status
2025-06-19T08:32:35.195Z - GET /api/data-update/status
2025-06-19T08:32:35.296Z - GET /api/data-update/status
2025-06-19T08:32:35.393Z - GET /api/data-update/status
2025-06-19T08:32:35.528Z - GET /api/data-update/status
2025-06-19T08:32:35.635Z - GET /api/data-update/status
2025-06-19T08:32:35.783Z - GET /api/data-update/status
2025-06-19T08:32:35.903Z - GET /api/data-update/status
2025-06-19T08:32:36.006Z - GET /api/data-update/status
2025-06-19T08:32:36.107Z - GET /api/data-update/status
2025-06-19T08:32:36.198Z - GET /api/data-update/status
2025-06-19T08:32:36.298Z - GET /api/data-update/status
2025-06-19T08:32:36.386Z - GET /api/data-update/status
2025-06-19T08:32:36.488Z - GET /api/data-update/status
2025-06-19T08:32:36.587Z - GET /api/data-update/status
2025-06-19T08:32:36.688Z - GET /api/data-update/status
2025-06-19T08:32:36.778Z - GET /api/data-update/status
2025-06-19T08:32:36.877Z - GET /api/protocols/daily-metrics
2025-06-19T08:32:36.880Z - GET /api/data-update/status
2025-06-19T08:32:36.993Z - GET /api/data-update/status
2025-06-19T08:32:37.104Z - GET /api/data-update/status
2025-06-19T08:32:37.228Z - GET /api/data-update/status
2025-06-19T08:32:37.320Z - GET /api/data-update/status
2025-06-19T08:32:37.407Z - GET /api/data-update/status
2025-06-19T08:32:37.497Z - GET /api/data-update/status
2025-06-19T08:32:37.600Z - GET /api/data-update/status
2025-06-19T08:32:37.697Z - GET /api/data-update/status
2025-06-19T08:32:37.787Z - GET /api/data-update/status
2025-06-19T08:32:37.883Z - GET /api/data-update/status
2025-06-19T08:32:37.972Z - GET /api/data-update/status
2025-06-19T08:32:38.068Z - GET /api/data-update/status
2025-06-19T08:32:38.162Z - GET /api/data-update/status
2025-06-19T08:32:38.252Z - GET /api/data-update/status
2025-06-19T08:32:38.372Z - GET /api/data-update/status
2025-06-19T08:32:38.472Z - GET /api/data-update/status
2025-06-19T08:32:38.567Z - GET /api/data-update/status
2025-06-19T08:32:38.658Z - GET /api/data-update/status
2025-06-19T08:32:38.747Z - GET /api/data-update/status
2025-06-19T08:32:38.838Z - GET /api/data-update/status
2025-06-19T08:32:38.928Z - GET /api/data-update/status
2025-06-19T08:32:39.017Z - GET /api/data-update/status
2025-06-19T08:32:39.106Z - GET /api/data-update/status
2025-06-19T08:32:39.198Z - GET /api/data-update/status
2025-06-19T08:32:39.306Z - GET /api/data-update/status
2025-06-19T08:32:39.403Z - GET /api/data-update/status
2025-06-19T08:32:39.493Z - GET /api/data-update/status
2025-06-19T08:32:39.606Z - GET /api/data-update/status
2025-06-19T08:32:39.702Z - GET /api/data-update/status
2025-06-19T08:32:39.804Z - GET /api/data-update/status
2025-06-19T08:32:39.910Z - GET /api/data-update/status
2025-06-19T08:32:40.006Z - GET /api/data-update/status
2025-06-19T08:32:40.112Z - GET /api/data-update/status
2025-06-19T08:32:40.202Z - GET /api/data-update/status
2025-06-19T08:32:40.295Z - GET /api/data-update/status
2025-06-19T08:32:40.389Z - GET /api/data-update/status
2025-06-19T08:32:40.480Z - GET /api/data-update/status
2025-06-19T08:32:40.571Z - GET /api/data-update/status
2025-06-19T08:32:40.672Z - GET /api/data-update/status
2025-06-19T08:32:40.778Z - GET /api/data-update/status
2025-06-19T08:32:40.872Z - GET /api/data-update/status
2025-06-19T08:32:40.986Z - GET /api/data-update/status
2025-06-19T08:32:41.086Z - GET /api/data-update/status
2025-06-19T08:32:41.180Z - GET /api/data-update/status
2025-06-19T08:32:41.286Z - GET /api/data-update/status
2025-06-19T08:32:41.396Z - GET /api/data-update/status
2025-06-19T08:32:41.524Z - GET /api/data-update/status
2025-06-19T08:32:41.627Z - GET /api/data-update/status
2025-06-19T08:32:41.833Z - GET /api/data-update/status
2025-06-19T08:32:42.031Z - GET /api/data-update/status
2025-06-19T08:32:42.223Z - GET /api/data-update/status
2025-06-19T08:32:42.319Z - GET /api/data-update/status
2025-06-19T08:32:42.423Z - GET /api/data-update/status
2025-06-19T08:32:42.519Z - GET /api/data-update/status
2025-06-19T08:32:42.611Z - GET /api/data-update/status
2025-06-19T08:32:42.703Z - GET /api/data-update/status
2025-06-19T08:32:42.790Z - GET /api/data-update/status
2025-06-19T08:32:42.883Z - GET /api/data-update/status
2025-06-19T08:32:42.983Z - GET /api/data-update/status
2025-06-19T08:32:43.024Z - GET /api/data-update/status
2025-06-19T08:32:43.074Z - GET /api/data-update/status
