formattedDay,totalVolumeUSD,numberOfUsers,numberOfNewUsers,solanaVolumeUSD,baseVolumeUSD,bscVolumeUSD,solanaNumberOfUsers,baseNumberOfUsers,bscNumberOfUsers,numberOfReturningUsers,feesUSD,feesSOL,feesETH,feesBNB,numberOfTrades,numberOfPairs,cumulative_numberOfNewUsers,total_volume_usd,daily_users,daily_trades,total_fees_usd
05/03/2025,9.35915519894702e+06,3946,833,9.267641769843055e+06,75250.88570149784,16262.543402466681,3909,31,6,3113,82753.33770062022,567.6606561400015,0.32845944023136325,0.27624539111713287,70659,6142,90066,0,0,0,0
06/03/2025,8.883877620728295e+06,3628,523,8.774809412973134e+06,52987.94101546713,56080.2667396933,3591,27,11,3105,78773.16819244233,529.5318887749995,0.22443685753536327,0.9361178185154709,71904,7068,90589,0,0,0,0
07/03/2025,1.2405028014372488e+07,3786,442,1.2331238172473658e+07,66850.24326257956,6939.598636247674,3752,30,4,3344,110319.93223238696,763.0187866730008,0.28560043922067024,0.10971426615819624,90172,8284,91031,0,0,0,0
08/03/2025,1.0831573704064231e+07,3374,514,8.420475902029216e+06,2.381007934469939e+06,30089.867565068256,3276,90,8,2860,97548.62491914575,548.403891563001,9.933821752253005,0.4955828896137807,70830,6714,91545,0,0,0,0
09/03/2025,6.731785844251377e+06,3841,1219,6.62788780536185e+06,97872.95827505861,6025.080614468309,3792,44,5,2622,59022.18888065308,433.5387504960004,0.4258067596100393,0.1082661278262588,65974,6017,92764,0,0,0,0
10/03/2025,6.7757535390138095e+06,3350,691,6.660706065130923e+06,113927.36171046301,1120.1121724254263,3282,67,2,2659,61081.83935830558,482.1191977789999,0.5298610875650169,0.02000177415119059,70279,7311,93455,0,0,0,0
11/03/2025,7.013761158935217e+06,3511,717,6.777145894755146e+06,232346.19315371735,4269.071026354909,3430,75,6,2794,63350.22871764704,491.6172367529997,1.1670716806525219,0.07015368450389256,68457,7766,94172,0,0,0,0
12/03/2025,8.41250667018273e+06,3958,892,7.953036475933905e+06,451832.3831988826,7637.811049939932,3853,104,1,3066,74570.02435451545,561.3585906430005,2.259161834654182,0.13786911406234645,80419,8320,95064,0,0,0,0
13/03/2025,7.715148249430975e+06,3594,726,7.555535458988758e+06,147545.58947256985,12067.200969648511,3520,64,10,2868,68866.49310740957,541.6655342959998,0.7425754174834539,0.2016269440279193,75581,7724,95790,0,0,0,0
14/03/2025,6.597067108898473e+06,4083,1238,6.237074537667669e+06,334812.81640855473,25179.754822249168,3964,102,17,2845,59069.90180728073,431.0228368750004,1.635083857167923,0.42935965777694957,65743,7474,97028,0,0,0,0
15/03/2025,7.93880956551474e+06,4554,1554,7.596350726130335e+06,236546.3520122869,105912.48737212048,4425,93,38,3000,70757.46361173691,501.27768580100025,1.1238751340409956,1.7332163694483549,71856,6933,98582,0,0,0,0
16/03/2025,5.9319774910439e+06,4370,1818,5.575350570947441e+06,233038.97118611538,123587.94891034282,4236,74,60,2552,52904.01107198843,379.46512631700114,1.1462682249640173,1.958172817556168,65547,6381,100400,0,0,0,0
17/03/2025,8.220666440543685e+06,4201,1247,7.568200035239645e+06,272024.8137623521,380441.5915416873,3967,116,121,2954,72024.0035936283,512.215434901001,1.3347689487997896,5.7350358393242775,78629,7479,101647,0,0,0,0
18/03/2025,6.418681794620971e+06,4951,1725,5.816750874149233e+06,222036.4937821202,379894.4266896152,4689,107,160,3226,56884.3861360566,410.71232928500075,1.1152736977620317,5.74071122149184,61248,5804,103372,0,0,0,0
